Product,Timestamp,Dealnumber
Vivo-X27,2019-07-05,9922.0
Vivo-X27,2019-07-05,4732.0
Vivo-X27,2019-07-05,1696.0
Vivo-X27,2019-07-07,9417.0
Vivo-X27,2019-07-07,4615.0
Vivo-X27,2019-07-07,1656.0
Vivo-X27,2019-07-08,9125.0
Vivo-X27,2019-07-08,4587.0
Vivo-X27,2019-07-08,1653.0
Vivo-X27,2019-07-09,8960.0
Vivo-X27,2019-07-09,4555.0
Vivo-X27,2019-07-09,1614.0
Vivo-X27,2019-07-10,8766.0
Vivo-X27,2019-07-10,4551.0
Vivo-X27,2019-07-10,1584.0
Vivo-X27,2019-07-11,8603.0
Vivo-X27,2019-07-11,4599.0
Vivo-X27,2019-07-11,1573.0
Vivo-X27,2019-07-12,8482.0
Vivo-X27,2019-07-12,4732.0
Vivo-X27,2019-07-12,1559.0
Vivo-X27,2019-07-13,8356.0
Vivo-X27,2019-07-13,4825.0
Vivo-X27,2019-07-13,1548.0
Vivo-X27,2019-07-14,8308.0
Vivo-X27,2019-07-14,4922.0
Vivo-X27,2019-07-14,1545.0
Vivo-X27,2019-07-15,8217.0
Vivo-X27,2019-07-15,4930.0
Vivo-X27,2019-07-15,1556.0
Vivo-X27,2019-07-16,8237.0
Vivo-X27,2019-07-16,5106.0
Vivo-X27,2019-07-16,1581.0
Vivo-X27,2019-07-17,7834.0
Vivo-X27,2019-07-17,5148.0
Vivo-X27,2019-07-17,1501.0
Vivo-X27,2019-07-18,7610.0
Vivo-X27,2019-07-18,4822.0
Vivo-X27,2019-07-18,1482.0
Vivo-X27,2019-07-19,6514.0
Vivo-X27,2019-07-19,3928.0
Vivo-X27,2019-07-19,1357.0
Vivo-X27,2019-07-21,6075.0
Vivo-X27,2019-07-21,3828.0
Vivo-X27,2019-07-21,1288.0
Vivo-X27,2019-07-23,5945.0
Vivo-X27,2019-07-23,4152.0
Vivo-X27,2019-07-23,1224.0
Vivo-X27,2019-07-24,5896.0
Vivo-X27,2019-07-24,4156.0
Vivo-X27,2019-07-24,1191.0
Vivo-X27,2019-07-25,5841.0
Vivo-X27,2019-07-25,4293.0
Vivo-X27,2019-07-25,1178.0
Vivo-X27,2019-07-26,5712.0
Vivo-X27,2019-07-26,4137.0
Vivo-X27,2019-07-26,1153.0
Vivo-X27,2019-07-27,5913.0
Vivo-X27,2019-07-27,4020.0
Vivo-X27,2019-07-27,1184.0
Vivo-X27,2019-08-02,16000.0
Vivo-X27,2019-08-02,3144.0
Vivo-X27,2019-08-02,1198.0
Vivo-X27,2019-08-03,16000.0
Vivo-X27,2019-08-03,3153.0
Vivo-X27,2019-08-03,1236.0
Vivo-X27,2019-08-04,16000.0
Vivo-X27,2019-08-04,3347.0
Vivo-X27,2019-08-04,1263.0
Vivo-X27,2019-08-05,16000.0
Vivo-X27,2019-08-05,3486.0
Vivo-X27,2019-08-05,1257.0
Vivo-X27,2019-08-06,16000.0
Vivo-X27,2019-08-06,3584.0
Vivo-X27,2019-08-06,1265.0
Vivo-X27,2019-08-07,17000.0
Vivo-X27,2019-08-07,3731.0
Vivo-X27,2019-08-07,1304.0
Vivo-X27,2019-08-08,17000.0
Vivo-X27,2019-08-08,3797.0
Vivo-X27,2019-08-08,1308.0
Vivo-X27,2019-08-09,17000.0
Vivo-X27,2019-08-09,3939.0
Vivo-X27,2019-08-09,1323.0
Vivo-X27,2019-08-10,17000.0
Vivo-X27,2019-08-10,3863.0
Vivo-X27,2019-08-10,1322.0
Vivo-X27,2019-08-11,17000.0
Vivo-X27,2019-08-11,3630.0
Vivo-X27,2019-08-11,1334.0
