Product,Timestamp,Dealprice
Vivo-Nex3,2021-02-08,3998.0
Vivo-Nex3-5G,2021-02-08,3996.0
三星-Note10,2021-02-08,4699.0
三星-Note10-5G,2021-02-08,5799.0
華為-Mate30,2021-02-07,3999.0
華為-Mate30-5G,2021-02-07,4989.0
華為-Mat30Pro,2021-02-07,5299.0
華為-Mat30Pro-5G,2021-02-07,6399.0
Vivo-Nex3,2021-02-07,3998.0
Vivo-Nex3-5G,2021-02-07,3996.0
三星-Note10,2021-02-07,4699.0
三星-Note10-5G,2021-02-07,5799.0
華為-Mate30,2021-02-06,3999.0
華為-Mate30-5G,2021-02-06,4989.0
華為-Mat30Pro,2021-02-06,5299.0
華為-Mat30Pro-5G,2021-02-06,6399.0
Vivo-Nex3,2021-02-06,3998.0
Vivo-Nex3-5G,2021-02-06,3996.0
三星-Note10,2021-02-06,4699.0
三星-Note10-5G,2021-02-06,5799.0
華為-Mate30,2021-02-05,3999.0
華為-Mate30-5G,2021-02-05,4989.0
華為-Mat30Pro,2021-02-05,5299.0
華為-Mat30Pro-5G,2021-02-05,6399.0
Vivo-Nex3,2021-02-05,3998.0
Vivo-Nex3-5G,2021-02-05,3996.0
三星-Note10,2021-02-05,4699.0
三星-Note10-5G,2021-02-05,5799.0
華為-Mate30,2021-02-04,3999.0
華為-Mate30-5G,2021-02-04,4989.0
華為-Mat30Pro,2021-02-04,5299.0
華為-Mat30Pro-5G,2021-02-04,6399.0
Vivo-Nex3,2021-02-04,3998.0
Vivo-Nex3-5G,2021-02-04,3996.0
三星-Note10,2021-02-04,4699.0
三星-Note10-5G,2021-02-04,5799.0
華為-Mate30,2021-02-03,3999.0
華為-Mate30-5G,2021-02-03,4989.0
華為-Mat30Pro,2021-02-03,5299.0
華為-Mat30Pro-5G,2021-02-03,6399.0
Vivo-Nex3,2021-02-03,3998.0
Vivo-Nex3-5G,2021-02-03,3996.0
三星-Note10,2021-02-03,4699.0
三星-Note10-5G,2021-02-03,5799.0
華為-Mate30,2021-02-02,3999.0
華為-Mate30-5G,2021-02-02,4989.0
華為-Mat30Pro,2021-02-02,5299.0
華為-Mat30Pro-5G,2021-02-02,6399.0
Vivo-Nex3,2021-02-02,3998.0
Vivo-Nex3-5G,2021-02-02,3996.0
三星-Note10,2021-02-02,4699.0
三星-Note10-5G,2021-02-02,5799.0
華為-Mate30,2021-02-01,3999.0
華為-Mate30-5G,2021-02-01,4989.0
華為-Mat30Pro,2021-02-01,5299.0
華為-Mat30Pro-5G,2021-02-01,6399.0
Vivo-Nex3,2021-02-01,3998.0
Vivo-Nex3-5G,2021-02-01,3996.0
三星-Note10,2021-02-01,4699.0
三星-Note10-5G,2021-02-01,5799.0
華為-Mate30,2021-01-31,3999.0
華為-Mate30-5G,2021-01-31,4989.0
華為-Mat30Pro,2021-01-31,5299.0
華為-Mat30Pro-5G,2021-01-31,6399.0
Vivo-Nex3,2021-01-31,3998.0
Vivo-Nex3-5G,2021-01-31,3996.0
三星-Note10,2021-01-31,4699.0
三星-Note10-5G,2021-01-31,5799.0
華為-Mate30,2021-01-30,3999.0
華為-Mate30-5G,2021-01-30,4989.0
華為-Mat30Pro,2021-01-30,5299.0
華為-Mat30Pro-5G,2021-01-30,6399.0
Vivo-Nex3,2021-01-30,3998.0
Vivo-Nex3-5G,2021-01-30,3996.0
三星-Note10,2021-01-30,4699.0
三星-Note10-5G,2021-01-30,5799.0
華為-Mate30,2021-01-29,3999.0
