Product,Shopname,Dealprice,Dealnumber,Timestamp
Vivo-Nex3-5G,蘇寧易購官方旗艦店,4998,1480,2020-01-06
Vivo-Nex3,蘇寧易購官方旗艦店,4498,412,2020-01-06
華為-Mate30,蘇寧易購官方旗艦店,4299,11000,2020-01-06
三星-Note10,蘇寧易購官方旗艦店,6599,255,2020-01-06
三星-Note10-5G,蘇寧易購官方旗艦店,7999,1137,2020-01-06
華為-Mate30,三際數碼官方旗艦店,4498,1780,2020-01-06
華為-Mate30Pro,三際數碼官方旗艦店,6899,1640,2020-01-06
三星-Note10,三際數碼官方旗艦店,6599,22,2020-01-06
三星-Note10-5G,三際數碼官方旗艦店,7999,403,2020-01-06
Vivo-Nex3-5G,Vivo官方旗艦店,5698,10000,2020-01-05
Vivo-Nex3,Vivo官方旗艦店,4498,1764,2020-01-05
華為-Mate30,華為官方旗艦店,4299,80000,2020-01-05
華為-Mate30Pro,華為官方旗艦店,5799,77000,2020-01-05
三星-Note10,三星官方旗艦店,6599,1330,2020-01-05
三星-Note10-5G,三星官方旗艦店,7999,15000,2020-01-05
Vivo-Nex3-5G,蘇寧易購官方旗艦店,4998,1479,2020-01-05
Vivo-Nex3,蘇寧易購官方旗艦店,4498,413,2020-01-05
華為-Mate30,蘇寧易購官方旗艦店,4299,11000,2020-01-05
三星-Note10,蘇寧易購官方旗艦店,6599,256,2020-01-05
三星-Note10-5G,蘇寧易購官方旗艦店,7999,1137,2020-01-05
華為-Mate30,三際數碼官方旗艦店,4299,1766,2020-01-05
華為-Mate30Pro,三際數碼官方旗艦店,6899,1634,2020-01-05
三星-Note10,三際數碼官方旗艦店,6599,21,2020-01-05
三星-Note10-5G,三際數碼官方旗艦店,7999,401,2020-01-05
Vivo-Nex3-5G,Vivo官方旗艦店,5698,10000,2020-01-04
Vivo-Nex3,Vivo官方旗艦店,4498,1760,2020-01-04
華為-Mate30,華為官方旗艦店,4299,80000,2020-01-04
華為-Mate30Pro,華為官方旗艦店,5799,77000,2020-01-04
三星-Note10,三星官方旗艦店,6599,1327,2020-01-04
三星-Note10-5G,三星官方旗艦店,7999,15000,2020-01-04
Vivo-Nex3-5G,蘇寧易購官方旗艦店,4998,1470,2020-01-04
Vivo-Nex3,蘇寧易購官方旗艦店,4498,413,2020-01-04
華為-Mate30,蘇寧易購官方旗艦店,3999,11000,2020-01-04
三星-Note10,蘇寧易購官方旗艦店,6599,257,2020-01-04
三星-Note10-5G,蘇寧易購官方旗艦店,7999,1133,2020-01-04
華為-Mate30,三際數碼官方旗艦店,4498,1756,2020-01-04
華為-Mate30Pro,三際數碼官方旗艦店,6899,1628,2020-01-04
三星-Note10,三際數碼官方旗艦店,6599,21,2020-01-04
三星-Note10-5G,三際數碼官方旗艦店,7999,399,2020-01-04
Vivo-Nex3-5G,Vivo官方旗艦店,5698,10000,2020-01-03
Vivo-Nex3,Vivo官方旗艦店,4498,1752,2020-01-03
華為-Mate30,華為官方旗艦店,4299,80000,2020-01-03
華為-Mate30Pro,華為官方旗艦店,6299,77000,2020-01-03
三星-Note10,三星官方旗艦店,6599,1319,2020-01-03
三星-Note10-5G,三星官方旗艦店,7999,15000,2020-01-03
Vivo-Nex3-5G,蘇寧易購官方旗艦店,4998,1468,2020-01-03
Vivo-Nex3,蘇寧易購官方旗艦店,4498,408,2020-01-03
華為-Mate30,蘇寧易購官方旗艦店,3999,11000,2020-01-03
三星-Note10,蘇寧易購官方旗艦店,6599,256,2020-01-03
三星-Note10-5G,蘇寧易購官方旗艦店,7999,1133,2020-01-03
華為-Mate30,三際數碼官方旗艦店,4498,1749,2020-01-03
華為-Mate30Pro,三際數碼官方旗艦店,6899,1619,2020-01-03
三星-Note10,三際數碼官方旗艦店,6599,21,2020-01-03
三星-Note10-5G,三際數碼官方旗艦店,7999,398,2020-01-03
Vivo-Nex3-5G,Vivo官方旗艦店,5698,10000,2020-01-02
Vivo-Nex3,Vivo官方旗艦店,4498,1748,2020-01-02
華為-Mate30,華為官方旗艦店,4299,79000,2020-01-02
華為-Mate30Pro,華為官方旗艦店,5799,77000,2020-01-02
三星-Note10,三星官方旗艦店,6599,1303,2020-01-02
三星-Note10-5G,三星官方旗艦店,7999,15000,2020-01-02
Vivo-Nex3-5G,蘇寧易購官方旗艦店,4998,1457,2020-01-02
Vivo-Nex3,蘇寧易購官方旗艦店,4498,406,2020-01-02
華為-Mate30,蘇寧易購官方旗艦店,4299,11000,2020-01-02
三星-Note10,蘇寧易購官方旗艦店,6599,254,2020-01-02
三星-Note10-5G,蘇寧易購官方旗艦店,7999,1132,2020-01-02
華為-Mate30,三際數碼官方旗艦店,4498,1737,2020-01-02
華為-Mate30Pro,三際數碼官方旗艦店,6899,1611,2020-01-02
三星-Note10,三際數碼官方旗艦店,6599,21,2020-01-02
三星-Note10-5G,三際數碼官方旗艦店,7999,391,2020-01-02
Vivo-Nex3-5G,Vivo官方旗艦店,5698,10000,2020-01-01
Vivo-Nex3,Vivo官方旗艦店,4498,1735,2020-01-01
華為-Mate30,華為官方旗艦店,4299,77000,2020-01-01
華為-Mate30Pro,華為官方旗艦店,5799,76000,2020-01-01
三星-Note10,三星官方旗艦店,6599,1271,2020-01-01
三星-Note10-5G,三星官方旗艦店,7999,14000,2020-01-01
Vivo-Nex3-5G,蘇寧易購官方旗艦店,4998,1445,2020-01-01
Vivo-Nex3,蘇寧易購官方旗艦店,4498,402,2020-01-01
華為-Mate30,蘇寧易購官方旗艦店,4299,11000,2020-01-01
三星-Note10,蘇寧易購官方旗艦店,6599,248,2020-01-01
三星-Note10-5G,蘇寧易購官方旗艦店,7999,1091,2020-01-01
華為-Mate30,三際數碼官方旗艦店,4498,1729,2020-01-01
華為-Mate30Pro,三際數碼官方旗艦店,6899,1604,2020-01-01
三星-Note10,三際數碼官方旗艦店,6599,20,2020-01-01
三星-Note10-5G,三際數碼官方旗艦店,7999,387,2020-01-01
Vivo-Nex3-5G,Vivo官方旗艦店,5698,10000,2019-12-31
Vivo-Nex3,Vivo官方旗艦店,4498,1732,2019-12-31
華為-Mate30,華為官方旗艦店,4299,77000,2019-12-31
華為-Mate30Pro,華為官方旗艦店,5799,76000,2019-12-31
三星-Note10,三星官方旗艦店,6599,1266,2019-12-31
三星-Note10-5G,三星官方旗艦店,7999,14000,2019-12-31
Vivo-Nex3-5G,蘇寧易購官方旗艦店,4998,1438,2019-12-31
Vivo-Nex3,蘇寧易購官方旗艦店,4498,398,2019-12-31
華為-Mate30,蘇寧易購官方旗艦店,3999,10000,2019-12-31
三星-Note10,蘇寧易購官方旗艦店,6599,248,2019-12-31
三星-Note10-5G,蘇寧易購官方旗艦店,7999,1091,2019-12-31
華為-Mate30,三際數碼官方旗艦店,4498,1714,2019-12-31
華為-Mate30Pro,三際數碼官方旗艦店,6899,1601,2019-12-31
三星-Note10,三際數碼官方旗艦店,6599,20,2019-12-31
三星-Note10-5G,三際數碼官方旗艦店,7999,380,2019-12-31
Vivo-Nex3-5G,Vivo官方旗艦店,5698,10000,2019-12-30
Vivo-Nex3,Vivo官方旗艦店,4498,1729,2019-12-30
華為-Mate30,華為官方旗艦店,4299,77000,2019-12-30
華為-Mate30Pro,華為官方旗艦店,5799,76000,2019-12-30
三星-Note10,三星官方旗艦店,6599,1260,2019-12-30
三星-Note10-5G,三星官方旗艦店,7999,14000,2019-12-30
Vivo-Nex3-5G,蘇寧易購官方旗艦店,4998,1431,2019-12-30
Vivo-Nex3,蘇寧易購官方旗艦店,4498,396,2019-12-30
華為-Mate30,蘇寧易購官方旗艦店,3999,10000,2019-12-30
三星-Note10,蘇寧易購官方旗艦店,6599,248,2019-12-30
三星-Note10-5G,蘇寧易購官方旗艦店,7999,1088,2019-12-30
華為-Mate30,三際數碼官方旗艦店,4498,1712,2019-12-30
華為-Mate30Pro,三際數碼官方旗艦店,6899,1596,2019-12-30
三星-Note10,三際數碼官方旗艦店,6599,20,2019-12-30
三星-Note10-5G,三際數碼官方旗艦店,7999,377,2019-12-30
Vivo-Nex3-5G,Vivo官方旗艦店,5698,10000,2019-12-29
Vivo-Nex3,Vivo官方旗艦店,4498,1723,2019-12-29
華為-Mate30,華為官方旗艦店,4299,76000,2019-12-29
華為-Mate30Pro,華為官方旗艦店,5799,76000,2019-12-29
三星-Note10,三星官方旗艦店,6599,1258,2019-12-29
三星-Note10-5G,三星官方旗艦店,7999,14000,2019-12-29
Vivo-Nex3-5G,蘇寧易購官方旗艦店,4998,1426,2019-12-29
Vivo-Nex3,蘇寧易購官方旗艦店,4498,393,2019-12-29
華為-Mate30,蘇寧易購官方旗艦店,3999,10000,2019-12-29
三星-Note10,蘇寧易購官方旗艦店,6599,248,2019-12-29
三星-Note10-5G,蘇寧易購官方旗艦店,7999,1087,2019-12-29
華為-Mate30,三際數碼官方旗艦店,4498,1703,2019-12-29
華為-Mate30Pro,三際數碼官方旗艦店,6899,1593,2019-12-29
三星-Note10,三際數碼官方旗艦店,6599,20,2019-12-29
三星-Note10-5G,三際數碼官方旗艦店,7999,374,2019-12-29
Vivo-Nex3-5G,Vivo官方旗艦店,5698,10000,2019-12-28
Vivo-Nex3,Vivo官方旗艦店,4498,1720,2019-12-28
華為-Mate30,華為官方旗艦店,4299,76000,2019-12-28
華為-Mate30Pro,華為官方旗艦店,5799,75000,2019-12-28
三星-Note10,三星官方旗艦店,6599,1254,2019-12-28
三星-Note10-5G,三星官方旗艦店,7999,14000,2019-12-28
Vivo-Nex3-5G,蘇寧易購官方旗艦店,4998,1420,2019-12-28
Vivo-Nex3,蘇寧易購官方旗艦店,4498,394,2019-12-28
華為-Mate30,蘇寧易購官方旗艦店,4299,10000,2019-12-28
三星-Note10,蘇寧易購官方旗艦店,6599,247,2019-12-28
三星-Note10-5G,蘇寧易購官方旗艦店,7999,1085,2019-12-28
華為-Mate30,三際數碼官方旗艦店,4498,1696,2019-12-28
華為-Mate30Pro,三際數碼官方旗艦店,6899,1589,2019-12-28
