timestamp,regularPrice_laptop,salePricelaptop,item_laptop,orderable_laptop,onSale_laptop,sale_start_date
2021-06-08,1349.99,1349.99,"Dell - Inspiron 7000 2-in-1 - 13.3"" UHD Touch Laptop - Intel Evo Platform - Core i7 - 16GB RAM - 512GB SSD+32GB Optane - Pen - Black",Available,False,2020-10-23
2021-06-08,1149.99,1149.99,"Dell - Inspiron 7000 2-in-1 - 15.6"" FHD Touch Laptop - 11th Gen Intel Core i7 - 16GB RAM - 512GB SSD + 32GB Optane - Silver",Available,False,2020-10-23
2021-06-08,929.99,929.99,"Dell - Inspiron 7000 2-in-1 - 15.6"" FHD Touchscreen Laptop - 11th Gen Intel Core i5 - 12GB RAM - 512GB SSD+32GB Optane - Silver",Available,False,2020-10-23
2021-06-08,1549.99,1549.99,"Dell - Inspiron 7000 2-in-1 - 15.6"" UHD Touch Laptop - 11th Gen Intel Core i7 - Xe MAX - 16GB RAM - 1TB SSD+32GB Optane - Black",Available,False,2020-10-23
2021-06-08,249.99,249.99,"HP - 14"" Laptop - 4GB Memory - 64GB eMMC Hard Drive - Natural Silver",SoldOut,False,2020-09-28
2021-06-08,269.99,269.99,"HP - 14"" Laptop - AMD 3020e - 4GB Memory - 64GB eMMC Hard Drive  - Indigo Blue",SoldOut,False,2020-09-28
2021-06-08,1369.99,1369.99,"Dell - Latitude 5000 14"" Laptop - Intel Core i5 - 8 GB Memory - 256 GB SSD - Gray",Available,False,2020-12-24
2021-06-08,999.99,999.99,"Dell - Inspiron 14 7000 - 14"" FHD Laptop - Intel Core i7 - 8GB Memory - 512 GB SSD - Silver",Available,False,2020-10-25
2021-06-08,1949.99,1949.99,"Lenovo - 15.6"" ThinkPad P15 Gen 1 Laptop, Black",Available,False,2020-11-16
2021-06-08,2089.0,2089.0,HP - EliteBook 850 G7 Notebook - 16 GB Memory - 512 GB SSD,SoldOut,False,2021-01-20
2021-06-08,1969.0,1969.0,HP ZBook Firefly 15 G7 Mobile Workstation - 16 GB Memory - 512 GB SSD,SoldOut,False,2021-01-20
2021-06-08,884.99,884.99,"Lenovo - Yoga 7i 15 2-in-1 15.6"" Touch Screen Laptop - Intel Core i5 - 8GB Memory - 256GB SSD - Dark Moss",SoldOut,False,2020-12-06
2021-06-08,1255.99,1255.99,"Lenovo - Yoga 7i 14 2-in-1 14"" Touch-Screen Laptop - Intel Evo Platform Core i7 - 16GB Memory - 1TB SSD - Slate Grey",Available,False,2020-10-27
2021-06-08,1305.99,1305.99,"Lenovo - Yoga 7i 15 2-in-1 15.6"" Touch Screen Laptop - Intel Evo Platform Core i7 - 16GB Memory - 1024GB SSD - Slate Grey",Available,False,2020-12-06
2021-06-08,1849.99,1849.99,"Lenovo - Yoga 9i 14 2-in-1 14"" Touch-Screen Laptop - Intel Evo Platform Core i7 - 16GB Memory - 1024GB SSD - Shadow Black",Available,False,2020-12-06
2021-06-08,1710.99,1610.99,"Lenovo - Yoga 9i 14 2-in-1 14"" Touch-Screen Laptop - Intel Evo Platform Core i7 - 16GB Memory - 512GB SSD - Mica",Available,True,2020-12-06
2021-06-08,1110.99,1110.99,"Lenovo - Yoga 7i 14 2-in-1 14"" Touch-Screen Laptop - Intel Evo Platform Core i7 - 12GB Memory - 512GB SSD - Dark Moss",Available,False,2020-12-06
2021-06-08,1610.99,1510.99,"Lenovo - Yoga 9i 14 2-in-1 14"" Touch-Screen Laptop - Intel Evo Platform Core i7 - 16GB Memory - 512GB SSD - Shadow Black",Available,True,2020-12-06
2021-06-08,1135.99,1135.99,"Lenovo - Yoga 7i 15 2-in-1 15.6"" Touch Screen Laptop - Intel Evo Platform Core i7 - 12GB Memory - 512GB SSD - Slate Grey",Available,False,2020-12-06
2021-06-08,1449.99,1299.99,"Lenovo - Yoga 9i 14 2-in-1 14"" Touch-Screen Laptop - Intel Evo Platform Core i7 - 8GB Memory - 256GB SSD - Shadow Black",Available,True,2020-12-06
2021-06-08,982.99,982.99,"Lenovo - Yoga 7i 14 2-in-1 14"" Touch-Screen Laptop - Intel Evo Platform Core i5 - 12GB Memory - 512GB SSD - Slate Grey",Available,False,2020-12-06
2021-06-08,1749.99,1749.99,"Lenovo - Yoga 9i 15"" 2-in-1 Touch-Screen Laptop - Intel Core i7 - 12GB Memory - NVIDIA GeForce GTX 1650Ti - 512GB SSD - Slate Gray",Available,False,2020-12-06
2021-06-08,819.99,819.99,"Lenovo Yoga 6 13 2-in-1 13.3"" Touch Screen Laptop - AMD Ryzen 5 - 8GB Memory - 512GB SSD - Abyss Blue Fabric Cover",Available,False,2020-12-06
2021-06-08,1029.99,1029.99,"Lenovo Yoga 6 13 2-in-1 13.3"" Touch Screen Laptop - AMD Ryzen 7 - 16GB Memory - 1024GB SSD - Abyss Blue Fabric Cover",Available,False,2020-12-06
2021-06-08,2399.99,2399.99,"Lenovo - Yoga 9i 15"" 2-in-1 4K Ultra HD Touch-Screen Laptop - Intel Core i9 - 16GB Memory - NVIDIA GeForce GTX 1650Ti - 1TB SSD - Slate Gray",Available,False,2020-11-13
2021-06-08,1159.99,1159.99,"Lenovo - 13"" 16GB Yoga Duet 7 13IML05 Notebook, Slate Gray",Available,False,2020-11-16
2021-06-08,1549.0,1549.0,HP - EliteBook 840 G7 Notebook - 8 GB Memory - 256 GB SSD,SoldOut,False,2021-01-20
2021-06-08,989.99,989.99,"HP - 13.3""  Factory Recertified Spectre - Intel i7-1065 - 8GB Memory - 512GB SSD + 32GB Optane  Hard Drive - Silver",SoldOut,False,2020-09-18
2021-06-08,2129.99,2129.99,"Lenovo - 15.6"" Mobile Workstation P1 Gen 3, Black",Available,False,2020-11-16
2021-06-08,799.99,799.99,"Acer - Spin 3 SP314-54N 14"" Laptop - Intel Core i3 - 8 GB Memory - 128 GB SSD - Pure Silver",Available,False,2021-04-10
